gold_id,prerequisites,unlocks
PSY 1,Students are required to be subjects in low-risk psychological experiments or completion of a short paper.,"ANTH 151T, PSY 10A, PSY 102, PSY 106, PSY 108, PSY 183"
PSY 10A,"Psychology 1 with a minimum grade of C-; Psychology 5, PSTAT 5A, PSTAT 5LS, or COMM 87 with a minimum grade of C-; Math 3A, Math 34A, or Math 2A with a minimum grade of C-; Chem 1A-B or 2A-B; Students are required to be subjects in low-risk psychological experiments or completion of a short paper.",PSY 10B
PSY 10B,Psychology 10A with a minimum grade of C-; Students are required to be subjects in low-risk psychological experiments or completion of a short paper.,None
PSY 99,Consent of department and instructor; completion of at least one quarter of Psychology 99P.,None
PSY 99P,Consent of department and instuctor.,"PSY 99, PSY 190L, PSY 199"
PSY 102,PSY 1 or upper-division standing.,"PSY 120L, PSY 150L, PSY 153, PSY 139"
PSY 105,PSY 1 or upper-division standing.,"PSY 120L, PSY 145, PSY 156L, PSY 142, PSY 151"
PSY 106,PSY 1 or upper-division standing.,"PSY 111, PSY 120L, PSY 122, PSY 137, PSY 153, PSY 163TS"
PSY 108,PSY 1 or upper-division standing.,"PSY 126, PSY 120L, PSY 117L, PSY 118L, PSY 120"
PSY 109,No Prerequisites,None
PSY 111,"PSY 3 or PSY 106; open to Psychological & Brain Sciences, Biopsychology andInterdisciplinary Studies majors only.","PSY 126, PSY 162, PSY 132, PSY 134, PSY 137, PSY 138L"
PSY 111L,"PSY 111; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 116,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 117,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",PSY 117L
PSY 117L,"PSY 108 or 117; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 118L,"PSY 108, 123, 129, or 130; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 120L,"PSY 102, 105, 106, or 108; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 124,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 136,"PSY 106 or PSY 111; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 143,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",PSY 155L
PSY 152,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 115,"PSY 111; open to Psychological & Brain Sciences, Biopsychology, Pharmacology, and Interdisciplinary Studies majors only.",None
PSY 121,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 125,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 126,"PSY 108 and 111 (or MCDB 151); open to Psychological & Brain Sciences, Biopsychology, Pharmacology, and Interdisciplinary Studies majors only.",None
PSY 129L,"PSY 129 or 110A or 130 or 110B or 131 or 132; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only",None
PSY 131,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",PSY 129L
PSY 137,"PSY 106 or PSY 111; open to Psychological & Brain Sciences, Biopsychology, Pharmacology and Interdisciplinary Studies majors only.",None
PSY 138L,"PSY 111; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 145,"PSY 105 or 142; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 148,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 151,"PSY 105; open to Psychological & Brain Sciences, Biopsychology, Pharmacology, and Interdisciplinary Studies majors only.",None
PSY 113L,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 122,"PSY 106; Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 133,"PSY 106 or PSY 111 or MCDB 126A or MCDB 126B or MCDB 126C; open to Psychological & Brain Sciences, Biopsychology, Pharmacology, and Interdisciplinary Studies majors only.",None
PSY 142,"PSY 105; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",PSY 145
PSY 150L,"PSY 102; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 153,"PSY 102; PSY 106 or 111; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 154,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 155L,"PSY 143, 146, 155, or Anthropology 5; open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 160MH,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinar",None
PSY W 1,Students are required to be subjects in low-risk psychological experiments or completion of a short paper.,None
PSY 98,Consent of department and instructor.,None
PSY 160DW,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinary Studies majors only.",None
PSY 160SK,"Open to Psychological & Brain Sciences, Biopsychology, and Interdisciplinar",None
PSY 183,PSY 1 or upper-division standing.,None
PSY 197A,"Full major status, at least 3 finalized UD PSY courses (12 units) on record, at least a 3.5 UD PSY GPA, and an agreement with a faculty mentor to supervise a research project.",PSY 197B
PSTAT 5A,No Prerequisites,"EEMB W 146, ENV S 163A, EEMB 146, PSY 10A, SOC 205B, PSTAT 5H"
PSTAT 5H,"Concurrent enrollment in PSTAT 5A, 5LS, 8, or 10",None
PSTAT 5LS,No Prerequisites,None
PSTAT 8,Mathematics 3C or 3CI or 4A or 4AI or 4B or 4BI or 5A or 5AI or 5B or 5BI or 5C or 6A or 6AI or 6B with a grade of B or better. Not open to students who have completed Math 8.,"PSTATW 160A, MATH 117, PSTAT 5H, PSTAT 160A, MATH 104A"
PSTAT 10,Math 2B or 3B with a minimum grade of C or better.,"PSTAT 123, PSTAT 5H, PSTAT 122, PSTAT 126, PSTATW 174, PSTAT 175"
PSTAT 100,"PSTAT 120A; CS 9 or CS 16; and Math 4A, all with letter grade C or better.",None
PSTAT 115,PSTAT 126 with a minimum grade of C.,None
PSTAT 120A,Math 3C or Math 4A or Math 4AI or Math 6A or Math 6AI completed with a minimum grade of C or better.,"CMPSC 130A, PSTATW 160A, ECON 100B, ECON 101, ECON 136A, ECON 137A"
PSTAT 120B,PSTAT 120A with a grade of C or better.,"CMPSC 225, PSTAT 262DS, ECE 205, PSTAT 123, PSTAT 120C, PSTAT 122"
PSTAT 120C,PSTAT 120B with a grade C or better.,"PSTAT 262DS, PSTAT 207A, PSTAT 220A, PSTAT 232, PSTAT 262FM, PSTAT 262MC"
PSTAT 122,PSTAT 10 and PSTAT 120B both with a minimum grade of C or better.,PSTAT 220A
PSTAT 126,PSTAT 10 and PSTAT 120B both with a minimum grade of C or better.,"PSTAT 115, PSTAT 131, PSTAT 177, PSTAT 127, PSTAT 197A, PSTAT 220A"
PSTAT 127,PSTAT 126 with a minimum grade of C or better.,None
PSTAT 130,"One upper division course in PSTAT, MATH, Computer Science or ECE.",None
PSTAT 131,PSTAT 120A-B and PSTAT 126 with a minimum grade of C or better.,"PSTAT 134, PSTAT 135, PSTAT 234, PSTAT 235"
PSTAT 99,No Prerequisites,None
PSTAT 123,PSTAT 10 and PSTAT 120B both with a minimum grade of C or better.,None
PSTAT 134,PSTAT 131 or PSTAT 231 or Computer Science 165B; and Computer Science 9 (preferred) or Computer Science16. A minimum letter grade of C or better must be earned in each course.,None
PSTAT 135,PSTAT 131 or PSTAT 231 or Computer Science 165B; and Computer Science 9 (preferred) or Computer Science 16. A minimum letter grade of C or better must be earned in each course.,None
PSTAT 160A,"Mathematics 4A or 4AI or 5A, Mathematics 8 or PSTAT 8, and PSTAT 120A. A minimum letter grade of C or better must be earned in each course.","PSTAT 170, PSTAT 176, PSTAT 276"
PSTATW 120A,Math 3C or Math 4A or Math 4AI or Math 6A or Math 6AI completed with a minimum grade of C or better.,None
PSTATW 160A,"Mathematics 4A or 4AI or 5A, Mathematics 8 or PSTAT 8, and PSTAT 120A. A minimum letter grade of C or better must be earned in each course.",None
PSTAT 170,"PSTAT 120A-B and 160A, all completed with a minimum grade of C or better.","PSTAT 176, PSTAT 276"
PSTAT 171,Mathematics 2B or 3B with a minimum grade of C,"PSTAT 177, PSTAT 183, PSTAT 172A"
PSTAT 193,Upper-division standing and consent of instructor.,None
PSTAT 194CS,Upper-division standing; consent of instructor.,None
PSTAT 194TR,Upper-division standing; consent of instructor.,None
CMPSC 1,Open to computer science majors only.,None
CMPSC 5A,No Prerequisites,"CMPSC 5B, MATH 104A"
CMPSC 5B,Computer Science 5A or Computer Science 8 or ECE 3 with a grade of C or better.,None
CMPSC 8,No Prerequisites,"CMPSC 9, MAT 189, CMPSC 5B, GEOG 186, GEOG 286, LING 208"
CMPSC 9,CMPSC 8 or CMPSC W8 or ENGR 3 or ENGR W3 or ECE 3 with a grade of C or better.,"PSTAT 134, PSTAT 135, PSTAT 234, PSTAT 235"
CMPSC 16,"Mathematics 3A or 2A with a grade of C or better (may be taken concurrently), CS 8 or Engineering 3 or ECE 3 with a grade of C or better, or significant prior programming experience.","CMPSC 24, CMPSC 40, CMPSC 64, PSTAT 134, PSTAT 135, MATH 104A"
CMPSC 24,Computer Science 16 with a grade of C or better; and Mathematics 3B or 2B with a grade of C or better (may be taken concurrently).,"CMPSC 32, CMPSC 111, CMPSC 156, CMPSC 178"
CMPSC 32,Computer Science 24 with a grade of C or better,"CMPSC 130A, CMPSC 154, CMPSC 156, CMPSC 110, CMPSC 148, CMPSC 176A"
CMPSC 40,Computer Science 16 with a grade of C or better and Mathematics 4A with a grade of C or better.,"CMPSC 130A, CMPSC 138, CMPSC 110, CMPSC 178"
CMPSC 99,No Prerequisites,None
CMPSC 110,Computer Science 40 and Computer Science 32; consent of instructor.,None
CMPSC 111,Mathematics 4B with a grade of C or better; Mathematics 6A with a grade of C or better; Computer Science 24 with a grade of C or better.,None
CMPSC 130A,"Computer Science 40 with a grade of C or better; Computer Science 32 with a grade of C or better; PSTAT 120A or ECE 139; open to computer science, computer engineering, and electrical engineering majors only.","CMPSC 130B, CMPSC 160, CMPSC 165A, CMPSC 165B, CMPSC 170, CMPSC 174A"
CMPSC 130B,Computer Science 130A.,"CMPSC 134, CMPSC 174B, CMPSC 230, CMPSC 180, CMPSC 231, CMPSC 267"
CMPSC 138,Computer Science 40 with a grade of C or better; open to Computer Science and Computer Engineering majors only.,"CMPSC 160, CMPSC 162, CMPSC 267"
CMPSCW 8,No Prerequisites,None
CMPSC 64,Computer Science 16 with a grade of C or better; and Mathematics 3C or 4A with a grade of C or better.,"CMPSC 154, CMPSC 160, ECE 152A"
CMPSC 154,Computer Science 32 with a grade of C or better; Computer Science 64 with a grade of C or better.,"CMPSC 170, CMPSC 254, CMPSC 263"
CMPSC 156,Computer Science 24 and 32 with a grade of C or better; open to Computer Science and Computer Engineering majors only.,"CMPSC 184, CMPSC 189A"
CMPSC 160,Computer Science 64 or Electrical Engineering 154 or Electrical Engineering 154A; Computer Science 130A; and Computer Science 138; open to computer science and computer engineering majors only.,CMPSC 263
CMPSC 165A,Computer Science 130A,None
CMPSC 165B,Computer Science 130A.,"PSTAT 134, PSTAT 135, PSTAT 234, PSTAT 235"
CMPSC 170,"Computer Science 130A; and, Computer Science 154 or ECE 154A (may be taken concurrently); open to computer science, computer engineering or electrical engineering majors only.","CMPSC 177, CMPSC 270, CMPSC 271"
CMPSC 140,Mathematics 4B with a grade of C or better; Mathematics 6A with a grade of C or better; Computer Science 130A.,None
CMPSC 148,Computer Science 32 with a grade of C or better; open to Computer Science majors only.,CMPSC 189A
CMPSC 162,Computer Science 130A and 138; open to computer science and computer engineering majors only.,CMPSC 263
CMPSC 176A,"CMPSC 32 with a grade of C or better; PSTAT 120A or ECE 139; open to computer science, electrical engineering, and computer engineering majors only.",CMPSC 176C
CMPSC 178,Computer Science 24 with a grade of C or better; Computer Science 40 with a grade of C or better; and PSTAT 120A or 121A or ECE 139 or permission of instructor.,None
CMPSC 192,Consent of instructor.,None
CMPSC 193,Consent of instructor and department chair.,None
CMPSC 196,"Students must: (1) have attained upper-division standing (2) have a minimum3.0 grade-point average for preceding three quarters, (3) have consent of instructor.",CMPSC 196B
CMPSC 199,Upper-division standing; students must have completed at least two upper- division courses in computer science. May be repeated with consent of chair.,None
SOC 1,No Prerequisites,"SOC 10, SOC 125P"
SOC 91,Prior approval of faculty.,None
SOC 98,Consent of instructor and department.,None
SOC 99,Consent of instructor and department.,None
SOC 105E,Upper-division standing.,None
SOC 108,No Prerequisites,None
SOC 108C,No Prerequisites,None
SOC 108ST,No Prerequisites,None
SOC 118C,Upper-division standing.,None
SOC 122,Upper-division standing.,None
SOC 126,No Prerequisites,None
SOC 128,No Prerequisites,None
SOC 130GR,Upper-division standing.,None
SOC 130SG,Upper-division standing.,None
SOC 130ST,Upper-division standing.,None
SOC W 130SG,Upper-division standing.,None
SOC 134,Upper-division standing.,None
SOC 136A,Upper-division standing.,None
SOC 142,Upper-division standing.,None
SOC 145,Upper-division standing.,None
SOC 146,Upper-division standing.,None
SOC 147,Upper-division standing.,None
SOC 149,UPPER-DIVISION STANDING.,None
SOC 108A,Upper-division standing.,None
SOC 108F,No Prerequisites,None
SOC 124,Upper-division standing.,None
SOC 130SD,Upper-division standing.,None
SOC 131,Upper-division standing.,None
SOC 152A,No Prerequisites,SOC 152B
SOC 152B,Sociology 152A and consent of instructor.,None
SOC 154A,Upper-division standing.,None
SOC 118CW,Upper-division standing.,None
SOC 134G,Upper-division standing.,None
SOC 144S,Upper-division standing.,None
SOC 10,SOC 1,None
SOC W 155,Upper-division standing.,None
SOC 164,No Prerequisites,None
SOC 170,Upper-division standing.,None
SOC 185E,Upper-division standing.,None
SOC 185G,Upper-division standing.,None
SOC 190A,Minimum 3.0 GPA required. Course may be repeated for a maximum of no more than 12 units.,None
SOC 191CA,Upper-division standing; consent of instructor and department.,None
SOC 198,Upper-division standing; completion of two prior upper-division courses in sociology.,None
SOC 199,Upper-division standing; completion of two prior upper-division courses in sociology.,None
SOC 199RA,Upper-division standing; completion of two prior upper-division courses in sociology; consent of instructor and department.,None
ANTH 3,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
ANTH 5,No Prerequisites,"ANTH 9, ANTH 171, ANTH 103, ANTH 151T, ANTH 153T, ANTH 170"
ANTH 99,Consent of instructor.,None
ANTH 103,Anthropology 5.,None
ANTH 113,"ANTH 2 or CH ST 1A, 1B, or 1C.",None
ANTH 116A,Anthropology 2.,None
ANTH 125,ANTH 2,None
ANTH 126,Not open to Freshmen.,None
ANTH 129,Upper division standing,None
ANTH 133,No Prerequisites,None
ANTH 147,Environmental Studies 1 or 3 or Anthropology 2,None
ANTH 153T,Anthropology 5 or 7; not open to freshmen.,None
ANTH 159,ANTH 2: Intro to Cultural Anth; not open to Freshmen.,None
ANTH 170,Anthropology 5,None
ANTH 174,Anthropology 2.,None
ANTH 178,Consent of instructor.,None
ANTH 182M,Anthropology 3 or 3SS or 100.,None
ANTH 183,Consent of instructor.,None
ANTH 190,Consent of instructor.,None
ANTH 194,"Anthropology 3 or 3SS; and, Anthropology 100.",None
ANTH 194P,Anthropology 100; consent of instructor.,None
ANTH 195B,Admission to Anthropology Honors Program; consent of instructor; ANTH 195A,None
ANTH 195C,No Prerequisites,None
ANTH 198,Upper-division standing; completion of 2 upper-division courses in Anthropology.,None
ANTH 2,No Prerequisites,"ANTH 102, ANTH 113, ANTH 117, ANTH 132, ANTH 115, ANTH 135"
ANTH 106,No Prerequisites,None
ANTH 130,Upper-division standing.,None
ANTH 135,ANTH 2,None
ANTH 139CH,No Prerequisites,None
ANTH 151T,Anthropology 5 or Psychology 1.,None
ANTH 171,"Anth 5 with a minimum grade of C; or, EEMB 2 and EEMB 3; or, MCDB 1 and MCDB 2.",None
ANTH 176TS,Upper-division standing.,None
ANTH 186,Anth 3,None
ANTH 195A,Admission to Anthropology honors program; consent of instructor.,ANTH 195B
ANTH 197DL,Upper-division standing.,None
ANTH 197ES,Upper-division standing.,None
ANTH 100,Anthropology 3 or 3SS.,"ANTH 194, ANTH 194P, ANTH 182M"
ANTH 102,ANTH 2,None
ANTH 123MG,Anthropology 9 or equivalent.,None
ANTH 150,"ANTH 5 or ANTH 7, ANTH 9 or equivalent.",None
ANTH 193,Juniors and Seniors only; limited to Anthropology Majors/Minors,None
ANTH 199,Upper-division standing; completion of 2 upper-division courses in Anthropology.,None
ANTH 3SS,No Prerequisites,None
ANTH 109,No Prerequisites,None
ANTH 111,Upper-division standing.,None
ANTH 117,Anthropology 2.,None
ANTH 138TS,Upper-division standing.,None
ANTH 199RA,Upper-division standing; completion of 2 upper-division courses in Anthropology.,None
ANTH 596,No Prerequisites,None
ART 1A,No Prerequisites,"ART 100, ART 101, ART 105TD, ART 117, ART 118, ART 105PP"
ART 1C,No Prerequisites,None
ART 7B,No Prerequisites,"ART 100, ART 101, ART 117, ART 111PP, ART 112, ART 110"
ART 10,No Prerequisites,ART 100
ART 14,No Prerequisites,"ART 112, ART 110"
ART CS 15,Consent of instructor.,None
ART 18,No Prerequisites,"ART 117, ART 118, ART 110"
ART 22,No Prerequisites,"ART 122PC, ART 102MM"
ART 100,Art 10; Art 1A or 7B or Upper Division standing or Instructor Approval,None
ART CS 101,Consent of instructor.,None
ART 105PP,Art 12; 1A or 7C or Upper Division or Instructor Approval,None
ART CS 112,Consent of instructor.,None
ART 117,Art 18; 1A or 7B or Upper Division or Instructor Approval,ART 118
ART CS 120,Consent of instructor.,None
ART 122PC,"Art 22, 7D; 1A or Upper Division or Instructor Approval",None
ART CS 125,Consent of instructor.,None
ART 126,Art 1A or Upper Division,None
ART 130,Upper-division standing.,None
ART 136,Upper-division standing; consent of instructor.,None
ART 189A,Art 7D and Instructor Approval.,None
ART 192ES,Upper-division standing; consent of department.,None
ART 196,L&S and CCS Art majors only; upper-division standing; acceptance into department honors program.,None
ART 199,Upper-division standing; completion of two upper-division courses in Art; consent of instructor and department required.,None
ART 199RA,Upper-division students only; consent of instructor and department.,None
ART 7A,No Prerequisites,ART 132
ART 12,No Prerequisites,"ART 105TD, ART 105PP, ART 106W"
ART CS 102,Consent of instructor.,None
ART 105TD,Art 12; 1A or 7C or Upper Division or Instructor Approval,None
ART CS 107,Consent of instructor.,None
ART 111PP,"Art 7B, Upper Division; Instructor Approval",None
ART 112,Art 14; 1A or 7B or Instructor Approval,None
ART 118,"Art 18, 117; 1A or Upper Division or Instructor Approval",None
ART 137,Upper Division or Instructor Approval,None
ART 177,Upper-division standing.,None
ART 185LJ,Upper-division standing or instructor approval,None
ART 189C,Art 7D and Instructor Approval.,None
ART 7C,No Prerequisites,"ART 105TD, ART 105PP, ART 106W"
ART 7D,No Prerequisites,"ART 189A, ART 189C, ART 122PC, ART 102MM"
ART 102MM,"Art 22, 7D; 1A or Upper Division or Instructor Approval",None
ART CS 104,Consent of instructor.,None
ART 106W,Art 12; 1A or 7C or Upper Division or Instructor Approval,None
ART 110,"Art 14, 18; 1A or 7B or Upper Division or Instructor Approval",None
ART 132,Art 32; 1A or 7A or Upper Division,None
ART 133M,Upper Division or add code.,None
ART 189B,7D and Instructor Approval,None
ART 192IA,Upper-division standing; consent of department.,None
ART 125,No Prerequisites,None
ARTHI 6F,No Prerequisites,None
ARTHI 6K,No Prerequisites,None
ARTHI 6L,No Prerequisites,None
ARTHIW 6R,No Prerequisites,None
ARTHI 109B,Not open to freshman.,None
ARTHI 113B,Not open to freshmen.,None
ARTHI 127A,Not open to freshmen.,None
ARTHI 130D,Not open to freshmen.,None
ARTHI 132J,Not open to freshmen.,None
ARTHI 136O,Not open to freshmen.,None
ARTHI 148C,No Prerequisites,None
ARTHI 186P,Upper-division standing.,None
