quarter,courseId,title,description,subjectArea,unitsFixed,unitsVariableHigh,unitsVariableLow,instructionType,instructionTypeSecondary,onLineCourse,deptCode,generalEducation,enrollCode,section,classClosed,room,building,days,beginTime,endTime,instructor,functionCode,Prerequisites,Unlocks
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",166,115,,2124,GIRV,   R   ,10:00,10:50,BUORO Y,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",174,116,,1233,HSSB,   R   ,11:00,11:50,MUCHHALA M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",182,117,,1206,HSSB,M      ,15:30,16:45,CLEM E M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",190,118,,1210,HSSB,M      ,17:00,17:50,CASTANEDA GAR,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",208,119,,1223,HSSB, T     ,14:00,14:50,COBB E E,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",216,120,,1233,HSSB, T     ,15:00,15:50,ABAZA G M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",224,121,,1207,HSSB,  W    ,16:00,16:50,PARMEGGIANI C,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",232,122,,1211,HSSB,   R   ,17:00,17:50,MUCHHALA M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",71704,123,,2532,PHELP, T     ,17:00,17:50,ABAZA G M,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",71712,124,,1112,GIRV,  W    ,17:00,17:50,PARMEGGIANI C,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 2,INTRO CULT ANTHRO,"The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",ANTH    ,4.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",71720,125,,2532,PHELP,    F  ,14:00,14:50,BUORO Y,Teaching but not in charge,No Prerequisites,"ANTH 102, ANTH 115, ANTH 135, ANTH 117, ANTH 113, ANTH 116A"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59659,100,,1179,CHEM,M W    ,09:30,10:45,MCCLURE S B,Teaching and in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59675,101,,1021,HSSB,M      ,08:00,08:50,MITCHELL S T,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59667,102,,1021,HSSB,M      ,15:00,15:50,FROGGE H L,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59683,103,,1021,HSSB,M      ,13:00,13:50,MITCHELL S T,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59691,104,,1021,HSSB,M      ,14:00,14:50,SMITH E K,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59709,105,,1021,HSSB, T     ,08:00,08:50,DEGNAN B K,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59717,106,,1021,HSSB, T     ,11:00,11:50,FROGGE H L,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59725,107,,1021,HSSB, T     ,13:00,13:50,SMITH E K,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59733,108,,1021,HSSB, T     ,15:00,15:50,DEGNAN B K,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59741,109,,1021,HSSB,  W    ,14:00,14:50,KLEIN J V,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59758,110,,1021,HSSB,  W    ,15:00,15:50,RARESHIDE E,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59766,111,,1021,HSSB,  W    ,16:00,16:50,RARESHIDE E,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59774,112,,1021,HSSB,   R   ,14:00,14:50,LOBIONDO M V,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",59782,113,,1021,HSSB,    F  ,16:00,16:50,HOFFMAN A J,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",63826,114,,4107,ILP,   R   ,13:00,13:50,KLEIN J V,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
20241,ANTH 3,INTRO ARCH,"An introduction to archaeology and the prehistory of humankind from the earliest times up to the advent of literate civilization and cities, also processes of cultural change. Partly self-paced learning.",ANTH    ,5.0,,,LEC,DIS,False,ANTH ,"[{'geCode': 'D  ', 'geCollege': 'L&S '}, {'geCode': 'D  ', 'geCollege': 'ENGR'}, {'geCode': 'NWC', 'geCollege': 'L&S '}, {'geCode': 'WRT', 'geCollege': 'ENGR'}, {'geCode': 'WRT', 'geCollege': 'L&S '}, {'geCode': 'NWC', 'geCollege': 'ENGR'}]",63834,115,,4105,ILP,    F  ,11:00,11:50,HOFFMAN A J,Teaching but not in charge,No Prerequisites,"ANTH 194, ANTH 182M, ANTH 186, ANTH 100"
