id,quarter,course_id,title,description,subject_area,units,general_ed,prerequisites,unlocks
19,20243,ENGL    122UE,URBAN EXPERIENCE,"This course focuses on the emergence of the modern city and of urban experi ence from the 19th to the 21st century. The city can be a space of anonymit y, freedom, and loneliness, as much as a place of connection and exciting p ossibilities. Architecture and the organization of space produce different behaviors, types of perception, and subjectivity. Above all, the modern met ropolis is spectacular, and continually offers things to see to the eye.",ENGL,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
20,20243,ESS  W    3,NUTRITION/HEALTH,"This course introduces students to the principles and practices associated with proper nutrition.  Emphasis will be placed on food selection, dietary trends and the making of healthy food choices.",ESS  W,3,[],[],[]
21,20243,INT      86GG,IDENTITY & ART,"The exploration of identity continues to be a focus of contemporary artists. Examining how we create and recreate our internal and external selves allows us to better understand our interactions in personal, social and political arenas. In this interactive workshop, students will view work by various filmmakers, artists, and performers, and engage in lively discussions pertinent to their phase in life.",INT,1,[],[],[]
22,20243,JAPAN     2,FIRST YR JAPANESE 2,Continuation of Japanese 1.,JAPAN,5,"[""H""]",[],[]
23,20243,C LIT   193,TRANSLATION STUDIES,Individualized instruction to complete the capstone   translation project f or the Minor in Translation Studies.   To be completed with the faculty adv isor from the language   department of the student's focus.,C LIT,4,[],[],[]
24,20243,KOR       2,FIRST YEAR KOR 2,Continuation of Korean 1.,KOR,5,"[""H""]",[],[]
25,20243,ANTH      3SS,INTRO ARCH,"Introduction to archaeology and the prehistory of humankind   from the earliest times up to the advent of civilization and   cities, also processes of cultural change.",ANTH,4,"[""D"", ""NWC"", ""D"", ""NWC""]",[],[]
26,20243,ANTH    195C,ANTH HNR IND STD II,Individual research under the supervision of an   Anthropology faculty memb er which results in an honors thesis. Writing the thesis will be completed in this   course. Final course in progress series.,ANTH,4,[],[],[]
27,20243,GER      55A,GER POP CULTURE,"Study of contempory film, music, and other facets of pop culture that have shaped the lifestyle of today's nation of Germany. Study of pop music from 1989 to today and its impact on the new emerging society of post-Wall Germa ny, focusing on the pointed, humorous, and sometimes scathing lyrics and po p music's ties to German youth culture.",GER,4,"[""F"", ""WRT"", ""F"", ""WRT""]",[],[]
28,20243,ARTHI   199RA,RESEARCH ASSISTANT,Undergraduate research assistant.    Each unit requires 30 hours per quarter of work from the   student.,ARTHI,,[],[],[]
29,20243,ECON    118,FIN ACCTG ANALYSIS,"An economic analysis of financial statements in a macroeconomic environment . Topics include evaluation of short term and long term liquidity, profitab ility, capital structure and the forecast of earnings and financial positio n using financial and economic models.",ECON,4,[],[],[]
30,20243,GER     187,DEVIL IN LIT,Explores the rich literature around making deals with the devil while focus ing on the enduring influence of older literature on modern conceptions of the diabolic.,GER,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
31,20243,LAIS    195B,SENIOR HONRS THESIS,Individual study with the advisor for the purpose of writing a major interd isciplinary research paper on a topic of sufficient depth and sophisticatio n.,LAIS,4,[],[],[]
32,20243,ARTHI   192D,UCSB INTERNSHIP,"Under supervision of History of Art & Architecture faculty, students may ob tain credit for internship work on UCSB's campus, excluding the ADA Museum, the ADC, and the IRC internships. Students earn one unit for every 30 hour s of work in their internship. Regular meetings, a final evaluation session , and a written report are required.",ARTHI,,[],[],[]
33,20243,COMM    148,RISK COMMUNICATION,"Covers a number of issues such as risk assessment, risk perception, message design, media options, and barriers to effective risk communication.   Across all topics, considers how access to risk information, perceptions of risk, and reactions to risk messages vary depending on the audience.",COMM,4,[],[],[]
34,20243,MATH     34A,CALC FOR SOCIAL SCI,Introduction to differential and integral calculus with   applications to m odeling in the biological sciences.,MATH,4,"[""QNT"", ""C""]",[],[]
35,20243,CMPSC   193,INTERN IN INDUSTRY,Special projects for selected students. Offered in conjunction with selected industrial and research firms and under direct faculty supervision. Written proposal and final report required.,CMPSC,,[],[],[]
36,20243,ECE     199,IND STUD-ECE,"Directed individual study, normally experimental.",ECE,,[],[],[]
37,20243,C LIT    30C,MAJ WORKS-EUROP LIT,A survey of European literature. Romantic and modern   literature from Rousseau to Solzhenitsyn.,C LIT,4,"[""EUR"", ""EUR"", ""E"", ""E"", ""E1"", ""G"", ""G"", ""WRT"", ""WRT""]",[],[]
38,20243,EARTHW   20,GEOL CATASTROPHES,"Course deals with geologic catastrophes, e.g., earthquakes,   volcanic eruptions, tsunamis,   and landslides. Students will learn the basic physical   causes of these naturally occurring events and discuss the consequences.",EARTHW,4,"[""C"", ""QNT""]",[],[]
39,20243,INT      86FV,FRST YR EXP SEMINAR,Selected topics of interest to students pursuing various degrees in the Col lege of Letters and Science. Small group discussions which emphasize active class participation. Topics will vary each quarter.,INT,1,[],[],[]
40,20243,CMPSC   111,INT COMPUTAT SCI,"Introduction to the numerical algorithms that form the foundations of data science, machine learning, and computational science and engineering. Matri x computation, linear equation systems, eigenvalue and singular value decom positions, numerical optimization. The informed use of mathematical softwar e environments and libraries, such as python/numpy/scipy.",CMPSC,4,[],[],[]
41,20243,LAIS    101,INT HIST & SOC LAIS,"Issues central to the study of Latin America and Iberia across the social s ciences and history. Topics include nationalism, revolution, politics and t he state, economic development and international relations, labor, popular culture, race, gender, religion, migration, environment, imperialism, and c olonialism.",LAIS,4,"[""E"", ""WRT"", ""E"", ""WRT""]",[],[]
42,20243,MATH    104A,INTRO NUM ANALYSIS,"Numerical methods for the solution of nonlinear equations   (Newton method) , for integration (quadrature formulas and composite   integration), and fo r the initial value problem for ordinary differential   equations (Euler an d Kutta methods).",MATH,4,[],[],[]
43,20243,EEMB    185,OCEANOGRAPHY FLD WK,"Participation as a member of a scientific party on Scripps Institution (UCSD), NMFS, and UCSB oceanographic cruises. Cruise duration is variable (7 to 60 days), and course units will vary with cruise duration. Supervision by scientific party leader. Report required.",EEMB,,[],[],[]
44,20243,MATH CS 199,INDEPENDENT STUDIES,Serious independent study in mathematics with consenting faculty member.,MATH CS,,[],[],[]
45,20243,EEMB    131,PRIN OF EVOLUTION,"A foundation course concerning the mechanisms of evolution at   micro- and macroevolutionary levels, and interpretation of the   resulting patterns of adaptation and organic diversity.",EEMB,4,[],[],[]
46,20243,HIST W   80,CHIN CIVIL,"A survey of the history of Chinese civilization from 2,000 BCE to the prese nt, focusing on the origins and later development of political, social, eco nomic, philosophical, religious, and cultural traditions.",HIST W,5,"[""E"", ""NWC"", ""WRT"", ""E"", ""WRT"", ""NWC""]",[],[]
47,20243,ANTH     99,INDEPENDENT STUDIES,Introduction to research in Anthropology. Independent research under the guidance of a faculty member in the department. Course offers exceptional students the opportunity to undertake independent research or work in a research group.,ANTH,,[],[],[]
48,20243,C LIT    31,ASIAN LITERATURES,"An introduction to the diverse literary traditions of Asia through an examination of selected works. Regional focus on East, South, and SoutheastAsia varies.",C LIT,4,"[""G"", ""NWC"", ""WRT"", ""G"", ""WRT"", ""NWC""]",[],[]
49,20243,GLOBL   199,INDEPENDENT STUDIES,Independent studies in global and international studies. Students must be m ajors in global and international studies or present justification to the p rogram for diverting from this norm.,GLOBL,,[],[],[]
50,20243,COMM W  113,MED EFFECTS INDIV,"The effects of media communication on individual cognitive processes and the social environment. Emphasis on media effects on individual attitudes, family interaction, children, perceptions of minorities, sex-role stereotyping and other outcomes.",COMM W,4,[],[],[]
51,20243,EARTH   199,INDEPENDENT STUDIES,"Course consists of academic research supervised by a faculty   member. This course is not intended for internship honors, or   Senior Thesis credit.",EARTH,,[],[],[]
52,20243,ENV S   108W,PEOPLE & WILDLIFE,"Explores complex, dynamic, and often contested relationships between humans and wild animals, mainly in North America but with examples from varied cu ltural and ecological contexts around the world. Includes diverse perspecti ves from history, ecology, geography, law, politics, management, and other fields.",ENV S,4,[],[],[]
53,20243,GEOG      4,"LAND, WATER & LIFE","Study of the interactions among water, landforms, soil, and vegetation that create and modify the surface of the Earth. Impacts of physical environm ent on   human societies and humans as agents of environmental change.",GEOG,4,"[""C""]",[],[]
54,20243,EEMB    170,MARINE-LAND INTERF,Influence of physical factors on adaptations of shoreline   organisms with emphasis on the arthropods.,EEMB,4,[],[],[]
55,20243,ARTHI   136I,CITY IN HISTORY,"An historical introduction to the ideas and forms of cities with emphasis on modern urbanism. Examination of social theory to understand the role of industrial capitalism and colonialism in shaping the culture of modern cities, the relationship between the city and the country, the phenomena ofclass, race and ethnic separation.",ARTHI,4,"[""E"", ""F"", ""E"", ""F""]",[],[]
56,20243,MATH    145,INTRO TO TOPOLOGY,"Metric spaces, continuity, compactness, classification of   surfaces, Euler characteristics, and fundamental groups.   Additional topics at the discre tion of the instructor.",MATH,4,[],[],[]
57,20243,CLASS   106,ANCIENT MAGIC,"Explores the practice of magic in classical antiquity, beginning with the archaic period and ending in the seventh century CE. This historicized survey of practices, laws, and literary representations serves as a springboard for reflecting on magic as a social phenomenon and category of thought, and for discussion of the modern reception and contemporary revivals of Greco-Roman magic.",CLASS,4,"[""WRT"", ""WRT"", ""E"", ""E"", ""EUR"", ""EUR""]",[],[]
58,20243,COMM    151,RELATIONAL COMM,"Intensive analysis of current theory and research in   interpersonal communication, with special attention to theory development and testing.",COMM,4,[],[],[]
59,20243,ENV S   135A,PRIN ENVT PLANNING,"Introduction to the history, theory, trends, and practice of environmental land use planning in California and the United States, with special emphasi s on sustainable and resilient communities.",ENV S,4,[],[],[]
60,20243,MATH    117,METHODS OF ANALYSIS,"Introduction to methods of proof in analysis. topics include limits, sequen ces   and series, continuity, compactness, as well as other topics. This co urse is   intended to follow Mathematics 8 and to introduce students to the level of   sophistication of upper-division mathematics.",MATH,4,[],[],[]
61,20243,C LIT    99,INDEPENDENT STUDY,Independent research under the guidance of a faculty member in the program. Course offers motivated students the opportunity to undertake independent research or work in a research group.,C LIT,,[],[],[]
62,20243,ENGL     15,SHAKESPEARE,"INTRODUCTION TO SHAKESPEARE IN WHICH A NUMBER OF MAJOR PLAYS ARE READ WITH CLOSE ATTENTION TO LANGUAGE, DRAMATIC STRUCTURE, AND HISTORICAL CONTEXT.",ENGL,4,"[""G"", ""WRT"", ""G"", ""WRT""]",[],[]
63,20243,ED       99,INDEPENDENT STUDIES,Study of special problems in various fields of education   and/or faculty supervised research assistance.,ED,,[],[],[]
64,20243,MCDB    101A,MOLEC. GENETICS I,"From the double helix and genetic code to the latest   breakthroughs. Struc ture,   function, evolution and manipulation of DNA, RNA.    Replication, e xpression,   recombination, complementation, and their regulation in   prok aryotes (bacteria,   plasmids, viruses).  Recombinant DNA technology in   m edicine, research, agriculture   and industry.",MCDB,4,[],[],[]
65,20243,ANTH    194P,PRACTICUM FIELD/LAB,"An applied course emphasizing acquisition of practical skills   in archaeological field work and laboratory analysis. Projects   will vary depending on the type of archaeological research in   progress and may include artifact processing, cataloguing,   field excavation and preparation of research results.",ANTH,,[],[],[]
66,20243,CH E    198,INDEPENDENT STUDIES,Directed individual studies.,CH E,,[],[],[]
67,20243,COMM     99RA,INDEP RESEARCH ASST,Coursework consists of faculty supervised research   assistance.,COMM,,[],[],[]
68,20243,ENV S     3,INTRO SOC&CULT ENV,"An introduction to the relationship of societies and the environment from p rehistorical times to the present. The course is global in perspective, and includes history, literature, philosophy, economics, science, and culture as evidence for examining the human social environment.",ENV S,4,"[""E"", ""E"", ""WRT"", ""WRT""]",[],[]
69,20243,LING     15,LANG IN LIFE,"Overview of language and its role in communities at home and around the world.   The diversity and history of languages; their norms, conventions, and written   traditions; the role of language in culture and identity; language rights and   multilingualism, and the implications of technology for language use.",LING,4,"[""C"", ""E"", ""E""]",[],[]
70,20243,BL ST   197,RESEARCH SEMINAR,Directed field research or writing seminar on a topic in Black   Studies.,BL ST,,[],[],[]
71,20243,ENGR    101,ETHICS IN ENGR,"The nature of moral value, normative judgment and moral reasoning. Theories of   moral value. The engineer's role in society. Ethics in professional practice. Safety,   risk, responsibility. Morality and career choice. Code of ethics. Case studies   facilitate the comprehension of the concepts introduced.",ENGR,3,"[""WRT""]",[],[]
72,20243,MATH    104C,ADV NUM ANALYSIS,Topics in approximation theory; numerical methods for   finding eigenvalues of a matrix; and advanced topics in   numerical methods for ordinary and partial differential   equations.,MATH,4,[],[],[]
73,20243,ARTHI     5A,ARCHITECT & ENVIRON,"Architecture is an act of place-making through which humans have constructe d their relation with nature. Introduces the history of these strategies of place-making, interpretative concepts, and discipline-specific terminology in order to develop a critical understanding of the relationship between n ature and built form.",ARTHI,4,"[""F"", ""WRT"", ""F"", ""WRT""]",[],[]
74,20243,AS AM   118,AS AM POP CULTURE,"A historical survey of how Asians and Asian Americans have been represented in   American popular culture and an analysis of alternative models of pop ular   culture. Texts include literature, theatre, television, and film.",AS AM,4,"[""F"", ""ETH"", ""F"", ""ETH"", ""ETH""]",[],[]
75,20243,BL ST   126,COMP BLK LIT,"Using a social constructionist approach to race, this course   examines the multiple ways in which racial discourses operate   in global literary cultures. It emphasizes that blackness need   not be a homogeneous concept in order to continue to be a   powerful agent in the postmodern world.",BL ST,4,"[""G"", ""G"", ""WRT"", ""WRT"", ""NWC"", ""NWC""]",[],[]
76,20243,EARTH   119,FIELD INVESTIGATION,Selected field areas are investigated as research problems.   Content varie s from year to year.,EARTH,,[],[],[]
77,20243,HIST    122,REFORMATION/COUNTER,"The Reformation and the Counter-Reformation in Europe. Through a close anal ysis of selected primary sources, students will gain a deeper knowledge of the theological, political and cultural impact of the Reformation and Count er-Reformation in a transnational perspective.",HIST,4,[],[],[]
78,20243,ECON    136A,INTERMED ACCOUNTING,"An in-depth analysis of recognition, measurement,   classification, and val uation issues in financial reporting   within the framework of generally ac cepted accounting   principles. Case studies and microcomputer analysis   s oftware will be integrated into the course.",ECON,5,[],[],[]
79,20243,MAT     111PF,PROTOTYPE-FABRICATE,"Covers the entire process from concept design to detailed plans, and students navigate it using traditional sketching and cutting-edge AI tools. Practical lessons in laser cutting and 3D printing empower students to create multi-material constructs, emphasizing iterative design processes to refine outcomes. The course is partly held in the Library Makerspace, and it includes hands-on sections promoting active learning. Students culminate their learning in a final project, where they explore innovative form factors, interactive prototypes, and fabrication practices.",MAT,4,[],[],[]
80,20243,MCDB    199,INDEPENDENT STUDIES,Hours and credit by arrangement with any faculty member. Laboratory or field.,MCDB,,[],[],[]
81,20243,ANTH    195B,ANTH HNR IND STDY I,Individual research under the supervision of an   Anthropology faculty memb er which will result in an honors  thesis. This course concentrates on read ing and gathering   of materials for thesis.,ANTH,4,[],[],[]
82,20243,CHEM      1C,GEN CHEM,"Topics covered: kinetics; intermolecular forces, liquids and solids; proper ties of solutions; transition metals and coordination complexes; organic ch emistry and polymers; nuclear chemistry.",CHEM,3,[],[],[]
83,20243,COMM    154,VIDEO GAME RESEARCH,"An introduction to social scientific research on the motives,   responses, and consequences of playing video games.",COMM,4,[],[],[]
84,20243,LING    137,FIRST LANG ACQUIS,"An introduction to the interdisciplinary enterprise of understanding first language acquisition, overview of different theoretical and methodological approaches, and introduction to developmental processes in sub-areas such as phonology, morphology, lexicon, syntax and semantics.",LING,4,"[""WRT"", ""WRT""]",[],[]
85,20243,MCDB     84,INTERNSHIP BIOLOGY,"Opportunity to obtain practical biological-related research   experience by working under faculty direction as an intern   with local, state, federal, or private agencies. A written   report will be submitted for evaluation.",MCDB,,[],[],[]
86,20243,C LIT   113,TRAUMA/MEMORY/HIST,"How do individuals, communities, cultures, nations remember and/or forget, preserve and/or erase, traumatic events?",C LIT,4,"[""E"", ""G"", ""WRT"", ""E"", ""G"", ""WRT""]",[],[]
87,20243,ENV S   159,PUBLIC LANDS,"Explores the policies, history, law, science and ethics of public lands and waters at the national, state and local levels, including the examination of past, current and future problems and solutions. Readings, interactive class lectures, guest speakers, and writing assignments study how our vast and significant public lands and waters are managed, created, modified, celebrated, and threatened.",ENV S,4,[],[],[]
88,20243,ANTH    194,FLD TRNG ARCH,Introduction to design of research projects and techniques of   data collection in archaeology. The number of units taken in   one course will depend on the amount of training and   experience received.,ANTH,,[],[],[]
89,20243,CMPSC    24,PROBLEM SOLVING II,"Intermediate building blocks for solving problems using computers. Topics i nclude intermediate object-oriented programming, data structures, object-or iented design, algorithms for manipulating these data structures and their run-time analyses. Data structures introduced include stacks, queues, lists , trees, and sets.",CMPSC,4,[],[],[]
90,20243,EARTH    10,ANTARCTICA,"The interrelations of the physical and biological   environments   on the c ontinent Antarctica; Antarctica as an earth system.   Included are studies of tectonic history, global warming,   ozone depletion, mineral resources, and the history of   scientific exploration of the continent.",EARTH,4,"[""C"", ""QNT""]",[],[]
91,20243,FAMST    70,MEDIA CRITICISM,"Develop the analytical tools required for a critical   understanding of the interrelationship between media, culture,   and society in America. Special attention given to how social   structures shape media and how media products in return affect   our cultural practices and patterns.",FAMST,5,[],[],[]
92,20243,CHEM    109A,ORGANIC CHEMISTRY,"INTRODUCTION TO ORGANIC CHEMISTRY. TOPICS INCLUDE ACID/BASE CHEMISTRY, CONF ORMATIONAL ANALYSIS, STEREOISOMERS, THERMODYNAMICS AND KINETICS, AROMATICIT Y AND RESONANCE, AND MULTISTEP SYNTHESIS AS WELL AS THE NOMENCLATURE, STRUC TURE, REACTIVITY, AND MECHANISMS OF ALKENES, ALKYNES, AND ALKYL HALIDES. RE ACTION MECHANISMS INCLUDE ELECTROPHILIC ADDITION, SUBSTITUTION, AND ELIMINA TION REACTIONS.",CHEM,4,[],[],[]
93,20243,JAPAN     3,FIRST YR JAPANESE 3,Continuation of Japanese 2.,JAPAN,5,"[""B"", ""H""]",[],[]
94,20243,HIST      4A,ANCIENT MEDITERRANE,"Prehistory to 800 CE. History 4A introduces students to the histories of th e ancient Near East, North Africa and Europe, an understanding of which is important for studying later European history. Lectures and readings examin e cultural, economic, intellectual, military, political, religious, and oth er aspects of the period. Weekly small group sections in which students dis cuss historical sources and methods are an essential part of this course.",HIST,5,"[""WRT"", ""WRT"", ""EUR"", ""EUR"", ""E"", ""E"", ""E1""]",[],[]
95,20243,ITAL    199,INDEPENDENT STUDIES,Individual investigations in literary fields.,ITAL,,[],[],[]
96,20243,INT      86VL,FRST YR EXP SEMINAR,Selected topics of interest to students pursuing various degrees in the Col lege of Letters and Science. Small group discussions which emphasize active class participation. Topics will vary each quarter.,INT,1,[],[],[]
97,20243,COMM    111,NONVERBAL COMM,"Review of theories and empirical research on structure and   function of nonverbal messages in interaction, including body   and facial gestures, paralinguistics, touch, territory,   environment, and physical appearance. Students conduct and   report original studies or applied research projects on   nonverbal communication.",COMM,4,[],[],[]
98,20243,MCDB    184,INTERNSHIP BIOLOGY,"Opportunity to obtain practical biological-related research experience by working under faculty direction as an intern with local, state, federal, or private agencies. A written report will be submitted for evaluation.",MCDB,,[],[],[]
99,20243,CH ST   199RA,IND RESEARCH ASST,Coursework consists of faculty supervised research assistance.,CH ST,,[],[],[]
100,20243,GLOBL   130,GLBL ECON/DEVELOPM,"Examines recent theories and perspectives on global political economy and development studies. Topics include, among others, the new global economy, transnational corporations, transnational labor markets, international trade and finance, social and economic development, and North-South relations.",GLOBL,4,[],[],[]
101,20243,MATH    119A,ORD DIFF EQUATIONS,"Existence, uniqueness, and stability; the geometry of phase   space; linear systems and hyperbolicity; maps and   diffeomorphisms.",MATH,4,[],[],[]
102,20243,CHEM      6AL,ORGANIC CHEM LAB,"Distillation, crystallization, extraction, determination of physical proper ties, spectroscopy, and instrumental methods in organic chemistry.",CHEM,3,[],[],[]
103,20243,EEMB    184,INTERNSHIP BIOL SCI,"Opportunity to obtain practical biological related experience by working under faculty direction as an intern with local, state, federal, or private agencies. A written report will be submitted for evaluation.",EEMB,,[],[],[]
104,20243,ENGL     99,INTRO TO RESEARCH,Introduction to research in English. Independent research under the guidance of a faculty member in the department. Course offers exceptional students the opportunity to undertake independent research or work in a research group.,ENGL,,[],[],[]
105,20243,C LIT    32,MIDDLE EAST LITS.,"An introduction to the diverse literary traditions of the Middle East through an examination of selected works. Regional focus on North Africa, the Middle East, and Central Asia varies.",C LIT,4,"[""WRT"", ""G"", ""NWC"", ""G"", ""WRT"", ""NWC""]",[],[]
106,20243,FAMST    46,INTRO TO CINEMA,"An introduction to the study of film as an aesthetic and   social phenomeno n, and to various methods of critical   analysis.",FAMST,5,"[""F"", ""WRT"", ""F"", ""WRT""]",[],[]
107,20243,HIST    179A,NAT AMER TO 1838,A lecture course on the history of the indigenous peoples of North America from European contact to Cherokee removal. The course stresses comparative cultural responses to European colonization and from American history from a native point of view.,HIST,4,"[""WRT"", ""ETH"", ""ETH"", ""ETH"", ""AMH"", ""WRT""]",[],[]
108,20243,CHEM      6CL,ORGANIC CHEM LAB,"Distillation, crystallization, extraction, determination of physical proper ties, organic synthesis, instrumental methods in organic chemistry.",CHEM,3,[],[],[]
109,20243,CLASS    36,WORLD OF HEROES,"A study of the Iliad, the Odyssey, the Aeneid and other   ancient epics, and of the place of these works in Greek and   Roman society. The course explores how the epic hero   embodies a culture?s ideals concerning the individual, the   community, and the universe.",CLASS,4,"[""G"", ""G"", ""EUR"", ""EUR""]",[],[]
110,20243,INT      86VC,FRST YR EXP SEMINAR,Selected topics of interest to students pursuing various degrees in the Col lege of Letters and Science. Small group discussions which emphasize active class participation. Topics will vary each quarter.,INT,1,[],[],[]
111,20243,ITAL      2,ELEMENTARY ITALIAN,Logical continuation of Italian 1. Direct and indirect pronouns. Verbs in t he past tense and the imperfect. Emphasis on the correct writing and speaki ng of Italian.,ITAL,5,"[""H""]",[],[]
112,20243,DANCEW   36,HIST MODERN DANCE,"Historical development of modern dance in the United States   and Europe in the twentieth century. Emphasis on visionary,   feminist, and radical aspe cts of the form.",DANCEW,4,"[""F"", ""WRT"", ""F"", ""WRT""]",[],[]
113,20243,ECE     196,UNDERGRAD RESEARCH,"Research opportunities for undergraduate students. students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",ECE,,[],[],[]
114,20243,ENGL     50,INTRO ETHNIC LIT,"Designed to introduce students to critical approaches to the study of ethni c literatures and cultures from the long twentieth century. In its differen t iterations, the course takes a comparative approach, surveying a wide ran ge of literary genres by authors from Asian American, Black, Chicanx, Latin x, multiracial, Native American and other diverse communities. Students bui ld an analytical foundation for examining literary production and learn to link form, artistry, and concept to histories and politics of colonialism, identity, migration, nationhood, race, and segregation.",ENGL,4,"[""G"", ""ETH"", ""WRT"", ""G"", ""ETH"", ""WRT"", ""ETH""]",[],[]
115,20243,INT      98RA,INTRO TO RESEARCH,Introduction to research for College of Letters and Science students participating   in the Faculty Research Assistance Program (FRAP) under the guidance of a   faculty mentor.  Course offers students the opportunity to work in a research   group.,INT,,[],[],[]
116,20243,MATH      6A,VECTOR CALCULUS 1,"Calculus of functions of several variables, vector valued functions of one variable, derivative and integrals of vector functions, double and triple i ntegrals, properties and applications of integrals, change of variables.",MATH,4,[],[],[]
117,20243,ANTH    117,BORDERLANDS,"The theoretical concept of ""borderlands"" examined through a discussion of the societies, economics and cultures that form on geopolitical borders. The Mexico-U.S. border will be discussed in detail.",ANTH,4,[],[],[]
